==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.5, gpu_devices='2', height=256, htri_only=False, lr=0.0003, margin=0.3, max_epoch=300, num_instances=4, optim='adam', print_freq=10, resume='', root='/data/clyf/Datasets/market1501', save_dir='log/log_circle_cos_gamma128_lr00003_lrs05_step60', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=30, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 2
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [1][10/93]	Time 0.088 (0.445)	Data 0.001 (0.142)	Loss 58.0642 (58.1527)	
Epoch: [1][20/93]	Time 0.088 (0.269)	Data 0.001 (0.072)	Loss 54.0976 (56.5013)	
Epoch: [1][30/93]	Time 0.097 (0.210)	Data 0.002 (0.048)	Loss 56.8949 (56.3873)	
Epoch: [1][40/93]	Time 0.089 (0.182)	Data 0.001 (0.037)	Loss 59.0546 (55.8782)	
Epoch: [1][50/93]	Time 0.090 (0.167)	Data 0.001 (0.030)	Loss 54.4733 (56.2133)	
Epoch: [1][60/93]	Time 0.095 (0.155)	Data 0.001 (0.025)	Loss 56.5067 (56.1400)	
Epoch: [1][70/93]	Time 0.098 (0.146)	Data 0.002 (0.022)	Loss 54.9773 (56.0343)	
Epoch: [1][80/93]	Time 0.103 (0.140)	Data 0.002 (0.019)	Loss 54.2934 (55.8666)	
Epoch: [1][90/93]	Time 0.094 (0.134)	Data 0.001 (0.017)	Loss 51.5379 (55.7178)	
Epoch: [2][10/93]	Time 0.103 (0.169)	Data 0.001 (0.068)	Loss 65.2675 (59.0329)	
Epoch: [2][20/93]	Time 0.104 (0.134)	Data 0.001 (0.035)	Loss 60.3780 (59.9342)	
Epoch: [2][30/93]	Time 0.124 (0.130)	Data 0.002 (0.024)	Loss 53.1813 (58.4460)	
Epoch: [2][40/93]	Time 0.101 (0.124)	Data 0.002 (0.018)	Loss 60.7547 (57.4775)	
Epoch: [2][50/93]	Time 0.089 (0.118)	Data 0.001 (0.015)	Loss 52.3273 (57.3851)	
Epoch: [2][60/93]	Time 0.092 (0.115)	Data 0.002 (0.013)	Loss 55.9467 (57.3134)	
Epoch: [2][70/93]	Time 0.088 (0.112)	Data 0.001 (0.011)	Loss 48.4466 (56.9867)	
Epoch: [2][80/93]	Time 0.103 (0.111)	Data 0.002 (0.010)	Loss 65.1671 (56.8860)	
Epoch: [2][90/93]	Time 0.094 (0.109)	Data 0.001 (0.009)	Loss 64.7147 (56.7964)	
Epoch: [3][10/93]	Time 0.094 (0.146)	Data 0.001 (0.049)	Loss 60.2996 (55.0114)	
Epoch: [3][20/93]	Time 0.128 (0.121)	Data 0.001 (0.026)	Loss 56.9278 (54.3808)	
Epoch: [3][30/93]	Time 0.110 (0.115)	Data 0.002 (0.018)	Loss 48.0115 (54.2499)	
Epoch: [3][40/93]	Time 0.110 (0.111)	Data 0.001 (0.014)	Loss 49.7479 (53.3351)	
Epoch: [3][50/93]	Time 0.098 (0.108)	Data 0.001 (0.011)	Loss 48.2290 (52.4549)	
Epoch: [3][60/93]	Time 0.094 (0.107)	Data 0.002 (0.010)	Loss 48.3114 (53.0593)	
Epoch: [3][70/93]	Time 0.104 (0.106)	Data 0.001 (0.008)	Loss 69.7337 (53.1997)	
Epoch: [3][80/93]	Time 0.103 (0.105)	Data 0.001 (0.008)	Loss 60.2294 (52.8508)	
Epoch: [3][90/93]	Time 0.096 (0.104)	Data 0.001 (0.007)	Loss 41.9285 (52.2778)	
Epoch: [4][10/93]	Time 0.095 (0.153)	Data 0.002 (0.053)	Loss 65.9826 (49.4609)	
Epoch: [4][20/93]	Time 0.089 (0.127)	Data 0.001 (0.027)	Loss 48.9351 (50.0495)	
Epoch: [4][30/93]	Time 0.088 (0.117)	Data 0.001 (0.019)	Loss 51.2211 (51.2605)	
Epoch: [4][40/93]	Time 0.099 (0.115)	Data 0.001 (0.015)	Loss 41.1725 (51.5090)	
Epoch: [4][50/93]	Time 0.099 (0.113)	Data 0.001 (0.012)	Loss 55.8059 (51.3525)	
Epoch: [4][60/93]	Time 0.101 (0.110)	Data 0.001 (0.010)	Loss 58.5128 (51.9018)	
Epoch: [4][70/93]	Time 0.105 (0.109)	Data 0.001 (0.009)	Loss 34.9970 (51.7380)	
Epoch: [4][80/93]	Time 0.092 (0.107)	Data 0.001 (0.008)	Loss 51.7923 (51.6956)	
Epoch: [4][90/93]	Time 0.092 (0.106)	Data 0.001 (0.007)	Loss 44.2164 (51.1148)	
Epoch: [5][10/93]	Time 0.112 (0.161)	Data 0.002 (0.059)	Loss 33.1047 (43.1917)	
Epoch: [5][20/93]	Time 0.097 (0.133)	Data 0.001 (0.030)	Loss 59.2705 (44.9045)	
