==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.5, gpu_devices='2', height=256, htri_only=False, lr=0.0005, margin=0.3, max_epoch=300, num_instances=4, optim='adam', print_freq=10, resume='', root='/data/clyf/Datasets/market1501', save_dir='log_circle_cos_gamma80_lr00005_lrs05', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 2
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [1][10/93]	Time 0.101 (0.486)	Data 0.001 (0.060)	Loss 37.6730 (37.0099)	
Epoch: [1][20/93]	Time 0.089 (0.291)	Data 0.001 (0.031)	Loss 36.1553 (37.2137)	
Epoch: [1][30/93]	Time 0.104 (0.228)	Data 0.002 (0.021)	Loss 40.1151 (37.5846)	
Epoch: [1][40/93]	Time 0.092 (0.194)	Data 0.001 (0.016)	Loss 44.0615 (38.3078)	
Epoch: [1][50/93]	Time 0.092 (0.175)	Data 0.002 (0.013)	Loss 41.5872 (38.7866)	
Epoch: [1][60/93]	Time 0.100 (0.162)	Data 0.001 (0.011)	Loss 41.9481 (39.2473)	
Epoch: [1][70/93]	Time 0.093 (0.153)	Data 0.002 (0.010)	Loss 43.1648 (39.5423)	
Epoch: [1][80/93]	Time 0.099 (0.145)	Data 0.001 (0.009)	Loss 42.8384 (39.8011)	
Epoch: [1][90/93]	Time 0.089 (0.140)	Data 0.001 (0.008)	Loss 37.5963 (39.9455)	
Epoch: [2][10/93]	Time 0.110 (0.163)	Data 0.002 (0.052)	Loss 50.7349 (41.1750)	
Epoch: [2][20/93]	Time 0.118 (0.130)	Data 0.001 (0.027)	Loss 43.1782 (41.2906)	
